,index,event_id,event_activity,A,O,event_start_timestamp,event_timestamp,event_CaseID
22,711,1249,Cancel application,['Application_764468920'],"['Offer_1653360886', 'Offer_1938577920']",2016-02-11 08:00:30.824,2016-02-11 08:00:30.824,Application_764468920
23,712,1250,Cancel offer,[],['Offer_1653360886'],2016-02-11 08:00:30.854,2016-02-11 08:00:30.854,Application_764468920
24,713,1251,Cancel offer,[],['Offer_1938577920'],2016-02-11 08:00:30.863,2016-02-11 08:00:30.863,Application_764468920
25,1366,2262,Create application,['Application_700146618'],[],2016-01-16 11:20:41.415,2016-01-16 11:20:41.415,Application_700146618
26,1367,2263,Submit,['Application_700146618'],[],2016-01-16 11:20:41.593,2016-01-16 11:20:41.593,Application_700146618
27,1368,2264,Complete,['Application_700146618'],[],2016-01-16 11:39:46.137,2016-01-16 11:39:46.137,Application_700146618
28,1369,2265,Accept,['Application_700146618'],[],2016-01-16 16:13:33.058,2016-01-16 16:13:33.058,Application_700146618
29,1370,2266,Create offer,['Application_700146618'],['Offer_1104831392'],2016-01-16 16:18:39.905,2016-01-16 16:18:39.905,Application_700146618
30,1371,2267,Send,[],['Offer_1104831392'],2016-01-16 16:22:49.487,2016-01-16 16:22:49.487,Application_700146618
31,1372,2268,Call,[],['Offer_1104831392'],2016-01-16 16:22:49.513,2016-01-16 16:22:49.513,Application_700146618
32,1373,2269,Create offer,['Application_700146618'],['Offer_315857789'],2016-01-29 15:39:52.684,2016-01-29 15:39:52.684,Application_700146618
33,1374,2270,Send,[],['Offer_315857789'],2016-01-29 15:40:04.553,2016-01-29 15:40:04.553,Application_700146618
34,1375,2271,Cancel application,['Application_700146618'],"['Offer_315857789', 'Offer_1104831392']",2016-02-29 08:02:27.198,2016-02-29 08:02:27.198,Application_700146618
35,1376,2272,Cancel offer,[],['Offer_315857789'],2016-02-29 08:02:27.228,2016-02-29 08:02:27.228,Application_700146618
36,1377,2273,Cancel offer,[],['Offer_1104831392'],2016-02-29 08:02:27.236,2016-02-29 08:02:27.236,Application_700146618
37,2708,4383,Create application,['Application_66593560'],[],2016-01-31 14:33:13.825,2016-01-31 14:33:13.825,Application_66593560
38,2709,4384,Submit,['Application_66593560'],[],2016-01-31 14:33:13.902,2016-01-31 14:33:13.902,Application_66593560
39,2710,4385,Complete,['Application_66593560'],[],2016-02-01 16:31:24.740,2016-02-01 20:19:11.816,Application_66593560
40,2711,4386,Accept,['Application_66593560'],[],2016-02-01 20:10:41.947,2016-02-01 20:10:41.947,Application_66593560
41,2712,4387,Create offer,['Application_66593560'],['Offer_538319062'],2016-02-01 20:18:10.776,2016-02-01 20:18:10.776,Application_66593560
42,2713,4388,Send,[],['Offer_538319062'],2016-02-01 20:19:11.791,2016-02-01 20:19:11.791,Application_66593560
43,2714,4389,Call,[],['Offer_538319062'],2016-02-01 20:19:11.837,2016-02-01 20:19:11.837,Application_66593560
44,2715,4390,Create offer,['Application_66593560'],['Offer_1366932536'],2016-02-15 17:25:05.914,2016-02-15 17:25:05.914,Application_66593560
45,2716,4391,Send,[],['Offer_1366932536'],2016-02-15 17:25:23.595,2016-02-15 17:25:23.595,Application_66593560
46,2717,4392,Cancel application,['Application_66593560'],"['Offer_538319062', 'Offer_1366932536']",2016-03-17 08:00:31.473,2016-03-17 08:00:31.473,Application_66593560
47,2718,4393,Cancel offer,[],['Offer_1366932536'],2016-03-17 08:00:31.605,2016-03-17 08:00:31.605,Application_66593560
48,2719,4394,Cancel offer,[],['Offer_538319062'],2016-03-17 08:00:31.633,2016-03-17 08:00:31.633,Application_66593560
49,2974,4797,Create application,['Application_725642735'],[],2016-02-04 16:33:46.766,2016-02-04 16:33:46.766,Application_725642735
50,2975,4798,Complete,['Application_725642735'],[],2016-02-04 16:33:46.776,2016-02-04 16:44:07.515,Application_725642735
51,2976,4799,Accept,['Application_725642735'],[],2016-02-04 16:40:02.557,2016-02-04 16:40:02.557,Application_725642735
52,2977,4800,Create offer,['Application_725642735'],['Offer_521034732'],2016-02-04 16:43:25.423,2016-02-04 16:43:25.423,Application_725642735
53,2978,4801,Create offer,['Application_725642735'],['Offer_200763858'],2016-02-04 16:43:48.005,2016-02-04 16:43:48.005,Application_725642735
54,2979,4802,Send,[],['Offer_200763858'],2016-02-04 16:44:07.486,2016-02-04 16:44:07.486,Application_725642735
55,2980,4803,Send,[],['Offer_521034732'],2016-02-04 16:44:07.492,2016-02-04 16:44:07.492,Application_725642735
56,2981,4804,Call,[],['Offer_521034732'],2016-02-04 16:44:07.525,2016-02-04 16:44:07.525,Application_725642735
57,2982,4805,Cancel application,['Application_725642735'],"['Offer_521034732', 'Offer_200763858']",2016-03-06 08:00:50.667,2016-03-06 08:00:50.667,Application_725642735
58,2983,4806,Cancel offer,[],['Offer_200763858'],2016-03-06 08:00:50.699,2016-03-06 08:00:50.699,Application_725642735
59,2984,4807,Cancel offer,[],['Offer_521034732'],2016-03-06 08:00:50.708,2016-03-06 08:00:50.708,Application_725642735
60,4351,7101,Create application,['Application_433489433'],[],2016-03-09 14:05:01.602,2016-03-09 14:05:01.602,Application_433489433
61,4352,7102,Submit,['Application_433489433'],[],2016-03-09 14:05:01.641,2016-03-09 14:05:01.641,Application_433489433
62,4353,7103,Complete,['Application_433489433'],[],2016-03-10 13:52:07.282,2016-03-10 13:52:07.282,Application_433489433
63,4354,7104,Accept,['Application_433489433'],[],2016-03-10 15:33:49.615,2016-03-10 15:33:49.615,Application_433489433
64,4355,7105,Create offer,['Application_433489433'],['Offer_1440118446'],2016-03-10 15:41:23.256,2016-03-10 15:41:23.256,Application_433489433
65,4356,7106,Create offer,['Application_433489433'],['Offer_1074825906'],2016-03-10 15:41:54.728,2016-03-10 15:41:54.728,Application_433489433
66,4357,7107,Send,[],['Offer_1074825906'],2016-03-10 15:43:43.219,2016-03-10 15:43:43.219,Application_433489433
67,4358,7108,Send,[],['Offer_1440118446'],2016-03-10 15:43:43.222,2016-03-10 15:43:43.222,Application_433489433
68,4359,7109,Call,[],['Offer_1440118446'],2016-03-10 15:43:43.284,2016-03-10 15:43:43.284,Application_433489433
69,4360,7110,Cancel application,['Application_433489433'],"['Offer_1440118446', 'Offer_1074825906']",2016-04-10 08:00:34.571,2016-04-10 08:00:34.571,Application_433489433
70,4361,7111,Cancel offer,[],['Offer_1074825906'],2016-04-10 08:00:34.611,2016-04-10 08:00:34.611,Application_433489433
71,4362,7112,Cancel offer,[],['Offer_1440118446'],2016-04-10 08:00:34.621,2016-04-10 08:00:34.621,Application_433489433
72,5492,8845,Create application,['Application_1162195492'],[],2016-04-04 22:23:29.299,2016-04-04 22:23:29.299,Application_1162195492
73,5493,8846,Submit,['Application_1162195492'],[],2016-04-04 22:23:29.374,2016-04-04 22:23:29.374,Application_1162195492
74,5494,8847,Complete,['Application_1162195492'],[],2016-04-06 12:01:49.931,2016-04-06 12:10:10.165,Application_1162195492
75,5495,8848,Accept,['Application_1162195492'],[],2016-04-06 12:06:27.876,2016-04-06 12:06:27.876,Application_1162195492
76,5496,8849,Create offer,['Application_1162195492'],['Offer_1065950922'],2016-04-06 12:08:43.646,2016-04-06 12:08:43.646,Application_1162195492
77,5497,8850,Create offer,['Application_1162195492'],['Offer_1296646075'],2016-04-06 12:09:49.152,2016-04-06 12:09:49.152,Application_1162195492
78,5498,8851,Send,[],['Offer_1296646075'],2016-04-06 12:10:10.146,2016-04-06 12:10:10.146,Application_1162195492
79,5499,8852,Send,[],['Offer_1065950922'],2016-04-06 12:10:10.148,2016-04-06 12:10:10.148,Application_1162195492
80,5500,8853,Call,[],['Offer_1065950922'],2016-04-06 12:10:10.178,2016-04-06 12:10:10.178,Application_1162195492
81,5501,8854,Cancel application,['Application_1162195492'],"['Offer_1065950922', 'Offer_1296646075']",2016-05-07 08:11:47.774,2016-05-07 08:11:47.774,Application_1162195492
82,5502,8855,Cancel offer,[],['Offer_1296646075'],2016-05-07 08:11:48.050,2016-05-07 08:11:48.050,Application_1162195492
83,5503,8856,Cancel offer,[],['Offer_1065950922'],2016-05-07 08:11:48.100,2016-05-07 08:11:48.100,Application_1162195492
84,7705,12337,Create application,['Application_1778253233'],[],2016-05-14 11:23:54.119,2016-05-14 11:23:54.119,Application_1778253233
85,7706,12338,Complete,['Application_1778253233'],[],2016-05-14 11:23:54.135,2016-05-14 11:34:55.895,Application_1778253233
86,7707,12339,Accept,['Application_1778253233'],[],2016-05-14 11:27:52.594,2016-05-14 11:27:52.594,Application_1778253233
87,7708,12340,Create offer,['Application_1778253233'],['Offer_1736320545'],2016-05-14 11:33:24.832,2016-05-14 11:33:24.832,Application_1778253233
88,7709,12341,Send,[],['Offer_1736320545'],2016-05-14 11:34:55.869,2016-05-14 11:34:55.869,Application_1778253233
89,7710,12342,Call,[],['Offer_1736320545'],2016-05-14 11:34:55.911,2016-05-14 11:34:55.911,Application_1778253233
90,7711,12343,Create offer,['Application_1778253233'],['Offer_1316204421'],2016-05-28 16:55:15.228,2016-05-28 16:55:15.228,Application_1778253233
91,7712,12344,Send,[],['Offer_1316204421'],2016-05-28 16:55:26.762,2016-05-28 16:55:26.762,Application_1778253233
92,7713,12345,Cancel application,['Application_1778253233'],"['Offer_1736320545', 'Offer_1316204421']",2016-06-27 23:35:44.302,2016-06-27 23:35:44.302,Application_1778253233
93,7714,12346,Cancel offer,[],['Offer_1316204421'],2016-06-27 23:35:44.343,2016-06-27 23:35:44.343,Application_1778253233
94,7715,12347,Cancel offer,[],['Offer_1736320545'],2016-06-27 23:35:44.352,2016-06-27 23:35:44.352,Application_1778253233
95,12048,19513,Create application,['Application_76657882'],[],2016-07-14 13:49:18.918,2016-07-14 13:49:18.918,Application_76657882
96,12049,19514,Submit,['Application_76657882'],[],2016-07-14 13:49:18.965,2016-07-14 13:49:18.965,Application_76657882
97,12050,19515,Complete,['Application_76657882'],[],2016-07-15 15:07:33.538,2016-07-15 15:14:10.013,Application_76657882
98,12051,19516,Accept,['Application_76657882'],[],2016-07-15 15:12:15.929,2016-07-15 15:12:15.929,Application_76657882
99,12052,19517,Create offer,['Application_76657882'],['Offer_1816909870'],2016-07-15 15:13:58.108,2016-07-15 15:13:58.108,Application_76657882
100,12053,19518,Send,[],['Offer_1816909870'],2016-07-15 15:14:09.926,2016-07-15 15:14:09.926,Application_76657882
101,12054,19519,Call,[],['Offer_1816909870'],2016-07-15 15:14:10.098,2016-07-15 15:14:10.098,Application_76657882
102,12055,19520,Create offer,['Application_76657882'],['Offer_118700056'],2016-08-02 11:38:40.949,2016-08-02 11:38:40.949,Application_76657882
103,12056,19521,Send,[],['Offer_118700056'],2016-08-02 11:38:57.244,2016-08-02 11:38:57.244,Application_76657882
104,12057,19522,Cancel application,['Application_76657882'],"['Offer_118700056', 'Offer_1816909870']",2016-09-02 08:00:20.307,2016-09-02 08:00:20.307,Application_76657882
105,12058,19523,Cancel offer,[],['Offer_118700056'],2016-09-02 08:00:20.340,2016-09-02 08:00:20.340,Application_76657882
106,12059,19524,Cancel offer,[],['Offer_1816909870'],2016-09-02 08:00:20.349,2016-09-02 08:00:20.349,Application_76657882
107,12408,20189,Create application,['Application_2087052509'],[],2016-07-22 17:55:43.066,2016-07-22 17:55:43.066,Application_2087052509
108,12409,20190,Submit,['Application_2087052509'],[],2016-07-22 17:55:43.110,2016-07-22 17:55:43.110,Application_2087052509
109,12410,20191,Complete,['Application_2087052509'],[],2016-07-26 14:59:06.074,2016-07-26 15:08:17.577,Application_2087052509
110,12411,20192,Accept,['Application_2087052509'],[],2016-07-26 15:05:10.158,2016-07-26 15:05:10.158,Application_2087052509
111,12412,20193,Create offer,['Application_2087052509'],['Offer_297763585'],2016-07-26 15:08:07.359,2016-07-26 15:08:07.359,Application_2087052509
112,12413,20194,Send,[],['Offer_297763585'],2016-07-26 15:08:17.546,2016-07-26 15:08:17.546,Application_2087052509
113,12414,20195,Call,[],['Offer_297763585'],2016-07-26 15:08:17.585,2016-07-26 15:08:17.585,Application_2087052509
114,12415,20196,Create offer,['Application_2087052509'],['Offer_809514117'],2016-08-01 17:58:55.414,2016-08-01 17:58:55.414,Application_2087052509
115,12416,20197,Send,[],['Offer_809514117'],2016-08-01 17:59:03.692,2016-08-01 17:59:03.692,Application_2087052509
116,12417,20198,Cancel application,['Application_2087052509'],"['Offer_297763585', 'Offer_809514117']",2016-09-01 08:00:33.587,2016-09-01 08:00:33.587,Application_2087052509
117,12418,20199,Cancel offer,[],['Offer_809514117'],2016-09-01 08:00:33.617,2016-09-01 08:00:33.617,Application_2087052509
118,12419,20200,Cancel offer,[],['Offer_297763585'],2016-09-01 08:00:33.624,2016-09-01 08:00:33.624,Application_2087052509
119,13338,21920,Create application,['Application_2011802770'],[],2016-08-09 12:57:28.822,2016-08-09 12:57:28.822,Application_2011802770
120,13339,21921,Complete,['Application_2011802770'],[],2016-08-09 12:57:28.838,2016-08-09 13:24:36.924,Application_2011802770
121,13340,21922,Accept,['Application_2011802770'],[],2016-08-09 13:10:10.829,2016-08-09 13:10:10.829,Application_2011802770
122,13341,21923,Create offer,['Application_2011802770'],['Offer_1087133793'],2016-08-09 13:21:07.648,2016-08-09 13:21:07.648,Application_2011802770
123,13342,21924,Create offer,['Application_2011802770'],['Offer_1192297219'],2016-08-09 13:23:08.190,2016-08-09 13:23:08.190,Application_2011802770
124,13343,21925,Send,[],['Offer_1192297219'],2016-08-09 13:24:36.895,2016-08-09 13:24:36.895,Application_2011802770
125,13344,21926,Send,[],['Offer_1087133793'],2016-08-09 13:24:36.898,2016-08-09 13:24:36.898,Application_2011802770
126,13345,21927,Call,[],['Offer_1087133793'],2016-08-09 13:24:36.945,2016-08-09 13:24:36.945,Application_2011802770
127,13346,21928,Cancel application,['Application_2011802770'],"['Offer_1192297219', 'Offer_1087133793']",2016-09-09 08:00:16.288,2016-09-09 08:00:16.288,Application_2011802770
128,13347,21929,Cancel offer,[],['Offer_1192297219'],2016-09-09 08:00:16.315,2016-09-09 08:00:16.315,Application_2011802770
129,13348,21930,Cancel offer,[],['Offer_1087133793'],2016-09-09 08:00:16.321,2016-09-09 08:00:16.321,Application_2011802770
130,14518,23937,Create application,['Application_243406211'],[],2016-09-02 12:20:49.680,2016-09-02 12:20:49.680,Application_243406211
131,14519,23938,Submit,['Application_243406211'],[],2016-09-02 12:20:49.717,2016-09-02 12:20:49.717,Application_243406211
132,14520,23939,Complete,['Application_243406211'],[],2016-09-05 16:37:21.856,2016-09-06 11:54:15.237,Application_243406211
133,14521,23940,Accept,['Application_243406211'],[],2016-09-06 11:44:13.021,2016-09-06 11:44:13.021,Application_243406211
134,14522,23941,Create offer,['Application_243406211'],['Offer_1707229168'],2016-09-06 11:49:43.759,2016-09-06 11:49:43.759,Application_243406211
135,14523,23942,Create offer,['Application_243406211'],['Offer_755276115'],2016-09-06 11:53:15.182,2016-09-06 11:53:15.182,Application_243406211
136,14524,23943,Send,[],['Offer_755276115'],2016-09-06 11:54:15.222,2016-09-06 11:54:15.222,Application_243406211
137,14525,23944,Send,[],['Offer_1707229168'],2016-09-06 11:54:15.224,2016-09-06 11:54:15.224,Application_243406211
138,14526,23945,Call,[],['Offer_1707229168'],2016-09-06 11:54:15.245,2016-09-06 11:54:15.245,Application_243406211
139,14527,23946,Cancel application,['Application_243406211'],"['Offer_1707229168', 'Offer_755276115']",2016-10-07 08:00:27.444,2016-10-07 08:00:27.444,Application_243406211
140,14528,23947,Cancel offer,[],['Offer_755276115'],2016-10-07 08:00:27.468,2016-10-07 08:00:27.468,Application_243406211
141,14529,23948,Cancel offer,[],['Offer_1707229168'],2016-10-07 08:00:27.474,2016-10-07 08:00:27.474,Application_243406211
142,15428,25272,Create application,['Application_1987616880'],[],2016-09-19 09:52:21.101,2016-09-19 09:52:21.101,Application_1987616880
143,15429,25273,Complete,['Application_1987616880'],[],2016-09-19 09:52:21.112,2016-09-19 10:00:35.645,Application_1987616880
144,15430,25274,Accept,['Application_1987616880'],[],2016-09-19 09:55:52.960,2016-09-19 09:55:52.960,Application_1987616880
145,15431,25275,Create offer,['Application_1987616880'],['Offer_1956713501'],2016-09-19 10:00:04.534,2016-09-19 10:00:04.534,Application_1987616880
146,15432,25276,Create offer,['Application_1987616880'],['Offer_2053689861'],2016-09-19 10:00:23.090,2016-09-19 10:00:23.090,Application_1987616880
147,15433,25277,Send,[],['Offer_2053689861'],2016-09-19 10:00:35.573,2016-09-19 10:00:35.573,Application_1987616880
148,15434,25278,Send,[],['Offer_1956713501'],2016-09-19 10:00:35.616,2016-09-19 10:00:35.616,Application_1987616880
149,15435,25279,Call,[],['Offer_1956713501'],2016-09-19 10:00:35.654,2016-09-19 10:00:35.654,Application_1987616880
150,15436,25280,Cancel application,['Application_1987616880'],"['Offer_2053689861', 'Offer_1956713501']",2016-09-23 10:05:07.946,2016-09-23 10:05:07.946,Application_1987616880
151,15437,25281,Cancel offer,[],['Offer_2053689861'],2016-09-23 10:05:07.972,2016-09-23 10:05:07.972,Application_1987616880
152,15438,25282,Cancel offer,[],['Offer_1956713501'],2016-09-23 10:05:07.978,2016-09-23 10:05:07.978,Application_1987616880
153,16425,26905,Create application,['Application_1784815865'],[],2016-10-05 15:36:00.308,2016-10-05 15:36:00.308,Application_1784815865
154,16426,26906,Complete,['Application_1784815865'],[],2016-10-05 15:36:00.322,2016-10-05 15:55:56.832,Application_1784815865
155,16427,26907,Accept,['Application_1784815865'],[],2016-10-05 15:38:59.073,2016-10-05 15:38:59.073,Application_1784815865
156,16428,26908,Create offer,['Application_1784815865'],['Offer_350932510'],2016-10-05 15:52:36.276,2016-10-05 15:52:36.276,Application_1784815865
157,16429,26909,Create offer,['Application_1784815865'],['Offer_1105661857'],2016-10-05 15:53:06.497,2016-10-05 15:53:06.497,Application_1784815865
158,16430,26910,Send,[],['Offer_1105661857'],2016-10-05 15:55:56.818,2016-10-05 15:55:56.818,Application_1784815865
159,16431,26911,Call,[],['Offer_1105661857'],2016-10-05 15:55:56.841,2016-10-05 15:55:56.841,Application_1784815865
160,16432,26912,Cancel offer,[],['Offer_350932510'],2016-10-05 15:56:08.035,2016-10-05 15:56:08.035,Application_1784815865
161,16433,26913,Cancel application,['Application_1784815865'],"['Offer_1105661857', 'Offer_350932510']",2016-11-05 08:00:10.477,2016-11-05 08:00:10.477,Application_1784815865
162,16434,26914,Cancel offer,[],['Offer_1105661857'],2016-11-05 08:00:10.524,2016-11-05 08:00:10.524,Application_1784815865
163,17262,28207,Create application,['Application_1281070255'],[],2016-10-19 18:27:30.369,2016-10-19 18:27:30.369,Application_1281070255
164,17263,28208,Complete,['Application_1281070255'],[],2016-10-19 18:27:30.382,2016-10-19 18:37:14.799,Application_1281070255
165,17264,28209,Accept,['Application_1281070255'],[],2016-10-19 18:34:13.456,2016-10-19 18:34:13.456,Application_1281070255
166,17265,28210,Create offer,['Application_1281070255'],['Offer_1575518671'],2016-10-19 18:36:49.012,2016-10-19 18:36:49.012,Application_1281070255
167,17266,28211,Send,[],['Offer_1575518671'],2016-10-19 18:37:14.784,2016-10-19 18:37:14.784,Application_1281070255
168,17267,28212,Call,[],['Offer_1575518671'],2016-10-19 18:37:14.807,2016-10-19 18:37:14.807,Application_1281070255
169,17268,28213,Create offer,['Application_1281070255'],['Offer_1955262731'],2016-10-19 18:41:37.684,2016-10-19 18:41:37.684,Application_1281070255
170,17269,28214,Send,[],['Offer_1955262731'],2016-10-19 18:42:03.467,2016-10-19 18:42:03.467,Application_1281070255
171,17270,28215,Cancel application,['Application_1281070255'],"['Offer_1955262731', 'Offer_1575518671']",2016-11-19 08:00:27.807,2016-11-19 08:00:27.807,Application_1281070255
172,17271,28216,Cancel offer,[],['Offer_1955262731'],2016-11-19 08:00:27.840,2016-11-19 08:00:27.840,Application_1281070255
173,17272,28217,Cancel offer,[],['Offer_1575518671'],2016-11-19 08:00:27.848,2016-11-19 08:00:27.848,Application_1281070255
174,19048,31368,Create application,['Application_450199756'],[],2016-11-19 16:06:48.076,2016-11-19 16:06:48.076,Application_450199756
175,19049,31369,Submit,['Application_450199756'],[],2016-11-19 16:06:49.221,2016-11-19 16:06:49.221,Application_450199756
176,19050,31370,Complete,['Application_450199756'],[],2016-11-21 17:33:07.206,2016-11-23 17:43:46.634,Application_450199756
177,19051,31371,Accept,['Application_450199756'],[],2016-11-23 17:40:13.592,2016-11-23 17:40:13.592,Application_450199756
178,19052,31372,Create offer,['Application_450199756'],['Offer_239602381'],2016-11-23 17:41:32.689,2016-11-23 17:41:32.689,Application_450199756
179,19053,31373,Create offer,['Application_450199756'],['Offer_682160108'],2016-11-23 17:43:13.091,2016-11-23 17:43:13.091,Application_450199756
180,19054,31374,Send,[],['Offer_682160108'],2016-11-23 17:43:46.622,2016-11-23 17:43:46.622,Application_450199756
181,19055,31375,Call,[],['Offer_682160108'],2016-11-23 17:43:46.641,2016-11-23 17:43:46.641,Application_450199756
182,19056,31376,Cancel offer,[],['Offer_239602381'],2016-11-23 17:43:52.663,2016-11-23 17:43:52.663,Application_450199756
183,19057,31377,Cancel application,['Application_450199756'],"['Offer_682160108', 'Offer_239602381']",2016-12-24 08:00:36.335,2016-12-24 08:00:36.335,Application_450199756
184,19058,31378,Cancel offer,[],['Offer_682160108'],2016-12-24 08:00:36.362,2016-12-24 08:00:36.362,Application_450199756
